"Cement (component 1)(kg in a m^3 mixture)","Blast Furnace Slag (component 2)(kg in a m^3 mixture)","Fly Ash (component 3)(kg in a m^3 mixture)","Water  (component 4)(kg in a m^3 mixture)","Superplasticizer (component 5)(kg in a m^3 mixture)","Coarse Aggregate  (component 6)(kg in a m^3 mixture)","Fine Aggregate (component 7)(kg in a m^3 mixture)","Age (day)","Concrete compressive strength(MPa, megapascals) "
540,0,0,162,2.5,1040,676,28,79.986110760000003
540,0,0,162,2.5,1055,676,28,61.887365759999995
332.5,142.5,0,228,0,932,594,270,40.269535256000005
332.5,142.5,0,228,0,932,594,365,41.052779992
198.6,132.40000000000001,0,192,0,978.4,825.5,360,44.296075096000003
266,114,0,228,0,932,670,90,47.029847436000005
380,95,0,228,0,932,594,365,43.698299404
380,95,0,228,0,932,594,28,36.447769788000003
266,114,0,228,0,932,670,28,45.854290856
475,0,0,228,0,932,594,28,39.28978986
198.6,132.40000000000001,0,192,0,978.4,825.5,90,38.074243671999995
198.6,132.40000000000001,0,192,0,978.4,825.5,28,28.021683592
427.5,47.5,0,228,0,932,594,270,43.01296026
190,190,0,228,0,932,670,90,42.32693164
304,76,0,228,0,932,670,28,47.813781648000003
380,0,0,228,0,932,670,90,52.908319811999995
139.6,209.40000000000001,0,192,0,1047,806.9,90,39.358047983999996
342,38,0,228,0,932,670,365,56.141962252
380,95,0,228,0,932,594,90,40.563252031999995
475,0,0,228,0,932,594,180,42.620648416000002
427.5,47.5,0,228,0,932,594,180,41.836714203999997
139.6,209.40000000000001,0,192,0,1047,806.9,28,28.23748958
139.6,209.40000000000001,0,192,0,1047,806.9,3,8.063421820000001
139.6,209.40000000000001,0,192,0,1047,806.9,180,44.207822168
380,0,0,228,0,932,670,365,52.516697443999995
380,0,0,228,0,932,670,270,53.300631656000001
380,95,0,228,0,932,594,270,41.15137506
342,38,0,228,0,932,670,180,52.1243856
427.5,47.5,0,228,0,932,594,28,37.427515183999994
475,0,0,228,0,932,594,7,38.60376124
304,76,0,228,0,932,670,365,55.260122448
266,114,0,228,0,932,670,365,52.908319811999995
198.6,132.40000000000001,0,192,0,978.4,825.5,180,41.719503284
475,0,0,228,0,932,594,270,42.131120456
190,190,0,228,0,932,670,365,53.692254023999994
237.5,237.5,0,228,0,932,594,270,38.407950056000005
237.5,237.5,0,228,0,932,594,28,30.079769451999998
332.5,142.5,0,228,0,932,594,90,37.721921436000003
475,0,0,228,0,932,594,90,42.229026048000002
237.5,237.5,0,228,0,932,594,180,36.251958603999996
342,38,0,228,0,932,670,90,50.459301060000002
427.5,47.5,0,228,0,932,594,365,43.698299404
237.5,237.5,0,228,0,932,594,365,38.995383608
380,0,0,228,0,932,670,180,53.104130996000003
427.5,47.5,0,228,0,932,594,90,41.542997428
427.5,47.5,0,228,0,932,594,7,35.076402024
349,0,0,192,0,1047,806.9,3,15.049192651999999
380,95,0,228,0,932,594,180,40.759063216000002
237.5,237.5,0,228,0,932,594,7,26.258003984
380,95,0,228,0,932,594,7,32.823194456000004
332.5,142.5,0,228,0,932,594,180,39.779317819999996
190,190,0,228,0,932,670,180,46.931941843999994
237.5,237.5,0,228,0,932,594,90,33.116911232
304,76,0,228,0,932,670,90,49.185149411999995
139.6,209.40000000000001,0,192,0,1047,806.9,7,14.589312159999999
198.6,132.40000000000001,0,192,0,978.4,825.5,7,14.638264955999999
475,0,0,228,0,932,594,365,41.934619796
198.6,132.40000000000001,0,192,0,978.4,825.5,3,9.131420144
304,76,0,228,0,932,670,180,50.94882902
332.5,142.5,0,228,0,932,594,28,33.019005639999997
304,76,0,228,0,932,670,270,54.378282643999996
266,114,0,228,0,932,670,270,51.732763231999997
310,0,0,192,0,971,850.60000000000003,3,9.86640156
190,190,0,228,0,932,670,270,50.655112243999995
266,114,0,228,0,932,670,180,48.695621452
342,38,0,228,0,932,670,270,55.064311264
139.6,209.40000000000001,0,192,0,1047,806.9,360,44.698039603999995
332.5,142.5,0,228,0,932,594,7,30.275580636000001
190,190,0,228,0,932,670,28,40.856968808
485,0,0,146,0,1120,800,28,71.98818916000001
374,189.2,0,170.1,10.1,926.10000000000003,756.7000000000001,3,34.397957640000002
313.30000000000002,262.2,0,175.5,8.6,1046.9000000000001,611.8,3,28.799412520000001
425,106.3,0,153.5,16.5,852.10000000000003,887.10000000000003,3,33.398217439999997
425,106.3,0,151.40000000000001,18.600000000000002,936,803.7000000000001,3,36.3009114
375,93.8,0,126.6,23.4,852.10000000000003,992.60000000000003,3,28.99936056
475,118.8,0,181.1,8.900000000000001,852.10000000000003,781.5,3,37.797074320000001
469,117.20000000000001,0,137.80000000000002,32.200000000000003,852.10000000000003,840.5,3,40.196450800000001
425,106.3,0,153.5,16.5,852.10000000000003,887.10000000000003,3,33.398217439999997
388.60000000000003,97.1,0,157.90000000000001,12.1,852.10000000000003,925.7000000000001,3,28.096147
531.3,0,0,141.80000000000002,28.2,852.10000000000003,893.7000000000001,3,41.299612400000001
425,106.3,0,153.5,16.5,852.10000000000003,887.10000000000003,3,33.398217439999997
318.80000000000002,212.5,0,155.7,14.300000000000001,852.10000000000003,880.4,3,25.2003478
401.80000000000002,94.700000000000003,0,147.40000000000001,11.400000000000001,946.8,852.10000000000003,3,41.09966436
362.60000000000003,189,0,164.90000000000001,11.6,944.7000000000001,755.8,3,35.3011712
323.7,282.80000000000002,0,183.80000000000002,10.300000000000001,942.7000000000001,659.9,3,28.296095039999998
379.5,151.2,0,153.90000000000001,15.900000000000001,1134.3,605,3,28.599464479999999
362.60000000000003,189,0,164.90000000000001,11.6,944.7000000000001,755.8,3,35.3011712
286.30000000000002,200.90000000000001,0,144.7,11.2,1004.6000000000001,803.7000000000001,3,24.400555640000001
362.60000000000003,189,0,164.90000000000001,11.6,944.7000000000001,755.8,3,35.3011712
439,177,0,186,11.1,884.9,707.9,3,39.300132
389.9,189,0,145.90000000000001,22,944.7000000000001,755.8,3,40.59634688
362.60000000000003,189,0,164.90000000000001,11.6,944.7000000000001,755.8,3,35.3011712
337.9,189,0,174.90000000000001,9.5,944.7000000000001,755.8,3,24.0971862
374,189.2,0,170.1,10.1,926.10000000000003,756.7000000000001,7,46.20178676
313.30000000000002,262.2,0,175.5,8.6,1046.9000000000001,611.8,7,42.79577532
425,106.3,0,153.5,16.5,852.10000000000003,887.10000000000003,7,49.20100736
425,106.3,0,151.40000000000001,18.600000000000002,936,803.7000000000001,7,46.80163088
375,93.8,0,126.6,23.4,852.10000000000003,992.60000000000003,7,45.69846928
475,118.8,0,181.1,8.900000000000001,852.10000000000003,781.5,7,55.59934464
469,117.20000000000001,0,137.80000000000002,32.200000000000003,852.10000000000003,840.5,7,54.896079119999997
425,106.3,0,153.5,16.5,852.10000000000003,887.10000000000003,7,49.20100736
388.60000000000003,97.1,0,157.90000000000001,12.1,852.10000000000003,925.7000000000001,7,34.901275120000002
531.3,0,0,141.80000000000002,28.2,852.10000000000003,893.7000000000001,7,46.89815752
425,106.3,0,153.5,16.5,852.10000000000003,887.10000000000003,7,49.20100736
318.80000000000002,212.5,0,155.7,14.300000000000001,852.10000000000003,880.4,7,33.398217439999997
401.80000000000002,94.700000000000003,0,147.40000000000001,11.400000000000001,946.8,852.10000000000003,7,54.096286960000001
362.60000000000003,189,0,164.90000000000001,11.6,944.7000000000001,755.8,7,55.895819320000002
323.7,282.80000000000002,0,183.80000000000002,10.300000000000001,942.7000000000001,659.9,7,49.80085148
379.5,151.2,0,153.90000000000001,15.900000000000001,1134.3,605,7,47.098105560000001
362.60000000000003,189,0,164.90000000000001,11.6,944.7000000000001,755.8,7,55.895819320000002
286.30000000000002,200.90000000000001,0,144.7,11.2,1004.6000000000001,803.7000000000001,7,37.997022359999996
362.60000000000003,189,0,164.90000000000001,11.6,944.7000000000001,755.8,7,55.895819320000002
439,177,0,186,11.1,884.9,707.9,7,56.095767359999997
389.9,189,0,145.90000000000001,22,944.7000000000001,755.8,7,59.09498796
362.60000000000003,189,0,164.90000000000001,11.6,944.7000000000001,755.8,7,22.89749796
337.9,189,0,174.90000000000001,9.5,944.7000000000001,755.8,7,35.101223159999997
374,189.2,0,170.1,10.1,926.10000000000003,756.7000000000001,28,61.094468360000001
313.30000000000002,262.2,0,175.5,8.6,1046.9000000000001,611.8,28,59.79825348
425,106.3,0,153.5,16.5,852.10000000000003,887.10000000000003,28,60.2946762
425,106.3,0,151.40000000000001,18.600000000000002,936,803.7000000000001,28,61.797733879999996
375,93.8,0,126.6,23.4,852.10000000000003,992.60000000000003,28,56.69561148
475,118.8,0,181.1,8.900000000000001,852.10000000000003,781.5,28,68.29949256000001
469,117.20000000000001,0,137.80000000000002,32.200000000000003,852.10000000000003,840.5,28,66.89985628
425,106.3,0,153.5,16.5,852.10000000000003,887.10000000000003,28,60.2946762
388.60000000000003,97.1,0,157.90000000000001,12.1,852.10000000000003,925.7000000000001,28,50.697170280000002
531.3,0,0,141.80000000000002,28.2,852.10000000000003,893.7000000000001,28,56.399136800000001
425,106.3,0,153.5,16.5,852.10000000000003,887.10000000000003,28,60.2946762
318.80000000000002,212.5,0,155.7,14.300000000000001,852.10000000000003,880.4,28,55.495923239999997
401.80000000000002,94.700000000000003,0,147.40000000000001,11.400000000000001,946.8,852.10000000000003,28,68.4994406
